PRODUCTOR,LOTE,CULTIVO,COORDENADAS,,,
Juan Antonio López,AMATITAN,ARANDANO,"020°50'30,32''N | 103°42'37,66''O","020°50'26,98''N | 103°42'46,22''O","020°50'26,70''N | 103°42'37,71''O","020°50'30,42''N | 103°42'46,06''O"
